FID,xcnt,ycnt
487,159.730255726,168.681531755
488,159.047349426,169.160117747
489,158.974507416,168.363352504
490,159.231272268,167.519655776
491,159.133948074,165.831502031
492,159.14257634,166.700019626
493,159.591213417,167.057984795
494,223.494149954,193.369862066
495,223.68726165,177.540281678
496,220.920208703,175.406104861
497,222.829420074,172.922012592
498,223.409690712,174.304447679
499,219.203823521,176.657336645
500,160.124419867,162.465426714
501,160.044091467,163.789207374
502,160.249559002,163.410504349
503,160.288545297,164.011983958
504,160.578995866,164.011196846
505,160.610170477,163.700342286
506,160.882708534,164.393212358
507,160.652283902,164.447208089
508,159.77626589,164.399499969
509,159.586590689,166.307078641
510,162.066931453,166.76792959
511,162.632456178,166.858750662
512,163.41593644,166.88664406
513,151.832621454,160.610297029
514,161.662670338,167.635342596
515,160.433483216,168.603436351
516,219.465727886,175.423043897
517,219.43345368,175.982083225
518,219.916372122,174.507879201
519,221.842300029,174.972764837
520,224.585711645,175.847100826
521,219.979836258,188.43755043
522,219.718566171,188.074224436
523,160.140932143,164.629891386
524,159.929136032,164.165335938
525,160.316180267,164.330708341
526,159.815253294,164.87699695
527,159.466781529,164.584830335
528,159.627353667,165.277770672
529,159.158203422,165.218776827
530,160.027331835,170.06047923
531,151.820227528,161.708004923
532,150.824457166,165.141390041
533,151.497572846,164.378516578
534,153.777497208,164.708652888
535,224.28088523,176.45067764
536,224.039269199,175.027952353
537,210.468903819,191.346781369
538,206.694278014,194.380231042
539,209.130362168,194.558133331
540,212.081702089,195.658430281
541,209.924569554,198.158610847
542,224.79210023,181.481439763
543,218.602778104,180.265022574
544,222.263082255,194.056007964
545,221.680449631,191.598892955
546,219.322633654,188.201523197
547,218.823222182,188.535271532
548,218.223515233,188.412516609
549,218.445071142,187.992510918
550,222.451916117,180.950878469
551,222.894408215,183.52383432
552,224.161372173,181.184912845
553,220.289842056,183.640500398
554,219.352271877,182.16454125
555,217.24761185,186.12344971
556,218.232791508,186.929575579
557,159.741765901,165.439344838
558,160.616434308,165.33516253
559,160.202813921,165.342366738
560,160.538472565,164.778427825
561,161.092738568,164.968624212
562,161.020138459,165.436052911
563,152.787523689,162.954995585
564,152.367166436,163.834946963
565,151.785837801,159.706887909
566,153.067943308,160.371727178
567,152.558072839,160.598023396
568,152.650793838,159.995624643
569,153.714978879,162.336825224
570,221.291357863,190.05158717
571,206.209551077,176.514697164
572,206.061607173,179.247033297
573,202.920931724,178.501478626
574,215.272624841,183.091922078
575,214.329090532,181.544675233
576,215.912339833,184.822058907
577,213.823968981,184.939047282
578,212.292974363,181.127194671
579,213.010080669,183.430426216
580,212.257160353,185.225469802
581,217.384086609,181.005773989
582,216.192135093,182.091265331
583,217.387693468,176.784440146
584,218.395633,186.477914363
585,218.77415829,187.682718243
586,219.099259541,187.553772491
587,220.134013469,187.657187519
588,219.111248977,186.394516321
589,206.008531633,173.966685081
590,207.450963575,175.331599054
591,206.223437187,171.775314808
592,208.785666055,172.052474226
593,208.512001426,173.954069687
594,223.386431532,186.382587181
595,223.891279405,188.964373355
596,220.636449666,185.948186494
597,208.848992126,183.597201468
598,209.634517086,186.162622752
599,219.294705179,194.865705353
600,161.196167637,164.538419626
601,161.743416592,164.953552272
602,161.367415877,164.336287868
603,161.384496643,165.297174417
604,162.067981113,164.804322223
605,162.394520542,164.51286774
606,153.046783867,161.628898033
607,154.604486274,160.809372313
608,153.882447526,160.21935534
609,155.097409361,159.757676725
610,152.041998779,158.736092014
611,148.232530241,177.695916437
612,218.19335958,176.472311496
613,218.324299078,176.062336516
614,217.52598257,176.332829048
615,216.847231127,176.154951852
616,217.358106736,176.108571087
617,217.19527104,175.4015472
618,217.534369172,175.829626195
619,217.643476673,175.511346625
620,217.51739162,194.472099217
621,228.329784726,174.485511535
622,228.24405405,176.703430221
623,224.808995114,174.078549104
624,227.744033121,179.518037095
625,226.235838456,178.242831339
626,225.332898701,176.405852115
627,230.565114058,175.179888499
628,162.77248744,164.260407903
629,162.693819113,165.245799094
630,161.695565377,163.961042043
631,162.667146635,163.542328861
632,163.060547468,163.791997018
633,163.194598248,163.697854697
634,163.016263591,163.447614631
635,148.725615085,178.13252561
636,152.158851528,155.959267077
637,153.759001946,158.169897755
638,140.683070895,153.695639587
639,139.683042193,150.84009642
640,140.986877412,150.836489884
641,142.380491727,151.042323288
642,143.94579989,151.368652852
643,217.858836169,175.956899479
644,217.565953682,174.969259595
645,217.634629746,174.385914302
646,217.794747175,174.577133156
647,218.551536203,173.325919396
648,229.028971323,185.064956546
649,231.866463019,182.099934897
650,227.434725622,182.184529132
651,219.5546403,192.255456138
652,219.930840599,191.297514141
653,231.587500505,177.331649984
654,231.464362703,178.285163772
655,231.690266783,177.796706811
656,230.701485839,178.24062994
657,231.241046894,193.638376142
658,231.659757361,189.099407691
659,214.648728419,175.998103201
660,213.979060696,175.154637377
661,161.408503775,163.402159079
662,161.912744449,163.987071217
663,162.280848779,163.710215313
664,161.841745019,163.299412813
665,161.888036401,163.58381611
666,161.693557128,163.399511271
667,162.072647562,163.307461204
668,163.198949928,163.198949318
669,162.577554532,163.020074638
670,138.372066994,149.047716859
671,148.717752831,155.06148287
672,146.796070465,153.272946248
673,147.467491153,162.903122826
674,146.084005159,165.315050792
675,148.871927942,179.490872693
676,148.880711618,180.914042025
677,152.468412996,166.4668123
678,150.563051694,167.058481828
679,159.752679244,172.824331171
680,158.986962824,172.559094492
681,220.206609534,190.134106291
682,219.681306186,190.253268708
683,216.963504445,190.724670358
684,218.152327026,191.582609676
685,216.197025205,188.881475313
686,216.38533521,187.214612033
687,218.331822972,190.031902271
688,218.719772836,189.365231564
689,219.64479334,189.132210648
690,219.976968003,188.605773632
691,216.017451794,176.220445579
692,216.099419439,174.554460073
693,216.988403266,178.329075938
694,217.343431851,179.824202509
695,217.750103846,178.350078238
696,214.244056769,178.337793047
697,216.141873123,178.456109209
698,216.965108781,174.857477834
699,162.633512571,163.166852305
700,162.860847519,163.129644651
701,163.021297941,163.159541105
702,162.299224603,162.923873147
703,162.318156651,163.165817798
704,162.053101782,163.016604255
705,161.698419156,163.087289391
706,161.648659259,162.831068105
707,161.886159909,163.132802859
708,161.873339156,162.913686318
709,162.206431143,162.536794981
710,161.92084468,162.357252504
711,160.468712667,161.262244542
712,165.531575518,171.397787826
713,165.858920247,171.187215142
714,156.451689986,169.660044629
715,155.060150017,169.116091323
716,161.010401339,166.538294383
717,161.514053906,165.759983582
718,216.208003322,175.323048077
719,214.985523905,170.131780027
720,207.628257956,170.622680477
721,209.567400458,170.914627842
722,211.980540709,174.16509603
723,211.105872464,172.10145287
724,218.536947692,178.724976877
725,222.675905392,175.608780179
726,219.59979612,177.249372146
727,162.954829981,161.910013031
728,162.73618681,162.150708694
729,162.492476846,161.357278813
730,163.030456567,162.797440495
731,162.597425009,162.705583879
732,162.489922513,162.437403465
733,162.580375757,162.288802766
734,162.928473491,162.459963512
735,156.680461467,172.929977074
736,159.814188589,176.168637661
737,163.57930758,174.4089142
738,162.883039453,170.372001942
739,149.180123229,177.621273378
740,147.165814299,177.04776048
741,147.13540286,180.235675235
742,146.621745096,177.1541443
743,140.188986547,153.767482317
744,149.673640005,177.557033576
745,163.144784328,173.091287759
746,157.859382074,173.038440374
747,149.240126184,155.451980542
748,218.912607577,176.086755421
749,217.790036834,173.756913893
750,217.104279267,173.08439012
751,220.36778255,179.88909065
752,218.378188695,174.099680658
753,220.157463008,175.880842949
754,219.555152224,173.609716638
755,152.716440067,157.22719875
756,152.578361232,158.913509786
757,153.126714956,158.866960252
758,153.073118789,157.913067074
759,155.377982061,158.603929177
760,154.439837122,158.427883423
761,149.37589625,164.434699682
762,150.189897635,163.785209695
763,148.293782981,164.094069387
764,147.328910014,165.280651107
765,150.367749795,154.536172075
766,147.519082365,157.864592448
767,160.010230027,161.784372506
768,159.944481826,161.260420814
769,161.065243542,161.780834767
770,161.052047475,162.699293699
771,220.295071221,177.35435548
772,218.283420871,172.739431955
773,215.998664656,172.806778908
774,222.447301707,173.492690881
775,212.837506582,175.30646786
776,213.5537601,173.914752024
777,214.883110723,173.669062893
778,212.760945879,173.279485957
779,148.931144746,162.694446058
780,147.884709174,161.068910422
781,148.914612821,161.480842835
782,150.893065907,162.558662877
783,162.155834978,163.401094478
784,163.712007185,162.392722784
785,159.76147153,178.026005321
786,146.844114449,176.883019399
787,217.87541586,185.024465496
788,212.329866239,171.781323677
789,225.942399399,175.468218628
790,228.024855982,174.936237285
791,230.706074144,176.77735985
792,230.486756751,178.382789961
793,203.035157376,190.061418768
794,202.705939584,188.165569712
795,208.436302366,188.741665434
796,150.005038286,161.735887297
797,164.986730255,160.613789657
798,164.736022493,162.863128658
799,164.844153161,162.273691096
800,165.051046654,163.504865048
801,219.650672521,180.948709838
802,217.307472754,183.844159395
803,218.240409053,174.973441667
804,218.224546363,175.597604585
805,218.768228084,177.299830248
806,222.749792681,177.76744283
807,223.036501768,179.353455224
808,220.663449909,174.386476605
809,220.040783976,178.252022165
810,150.824415242,174.450033478
811,151.4911427,176.490848207
812,149.008851508,175.684001549
813,149.790578085,176.206125821
814,149.987711515,175.02556815
815,150.528143972,176.024352597
816,164.411116816,163.414813594
817,164.971323624,163.990890177
818,164.685454569,164.197616135
819,165.41653812,164.72512686
820,164.994729473,164.842714979
821,164.901288471,164.515019798
822,219.281451856,174.761908036
823,217.975989655,182.335082223
824,217.409321756,187.648416254
825,217.890496931,186.259539855
826,206.30447432,191.530464549
827,205.835595442,188.34898399
828,218.397363567,183.621276954
829,217.892797097,177.247600145
830,150.477115418,175.523530955
831,159.71440224,160.20405711
832,159.423757848,160.850388406
833,157.76049244,161.558125428
834,159.52646035,160.221399709
835,159.440214233,160.603986049
836,164.164185165,163.793401926
837,164.230224924,164.254998556
838,163.804181365,164.229007782
839,163.297635575,164.438466869
840,163.226673421,165.334123089
841,163.527539999,164.815580695
842,188.552707804,206.367187634
843,179.527102641,197.243566686
844,182.552811541,195.867441164
845,194.695509185,200.778691894
846,193.241211169,200.733228672
847,212.232144528,209.745986938
848,186.650460966,215.137429329
849,197.37628323,206.166501109
850,196.542569054,206.032873166
851,185.561512175,209.195165022
852,184.294320582,209.763441563
853,196.593090533,202.59676534
854,195.598469035,203.577046579
855,189.662401802,217.487927953
856,215.125648277,209.947952768
857,214.48371424,213.215921282
858,212.310470677,212.434998586
859,212.363150803,215.94963633
860,223.240369358,205.736221671
861,225.974649883,204.139313832
862,226.550378847,206.866723322
863,227.512609918,206.341609595
864,223.647595133,197.344335019
865,220.980974542,198.109530419
866,216.480671281,205.054538294
867,215.060545375,206.610548994
868,217.373880053,212.722555859
869,219.317858714,205.362128206
870,231.395868761,211.569476865
871,231.002330123,208.483895625
872,229.270649288,211.665839805
873,194.828941394,220.96557642
874,193.457554546,221.029564456
875,191.186496434,219.247434699
876,191.051912881,219.850491175
877,195.658825747,208.712684538
878,192.473833152,207.079644677
879,186.27498756,199.837083162
880,196.889936033,209.898377784
881,196.719152941,208.406506431
882,197.283550334,208.51845656
883,197.856141224,208.935531137
884,198.981719975,209.557105622
885,203.47868074,197.841781241
886,207.582834702,206.162867221
887,208.396659761,217.421029561
888,228.430033606,208.225758032
889,227.074656692,209.588310408
890,227.767926616,208.856445012
891,227.216086491,210.805734908
892,228.5012004,206.528105951
893,227.900767764,207.398795792
894,228.494069339,207.166760035
895,228.301056992,207.517800709
896,226.017013919,200.207217632
897,226.870431971,202.566732812
898,228.962746035,199.562309009
899,228.642348299,197.199322202
900,226.141541479,196.428078139
901,186.131593269,200.821544099
902,190.105556019,202.475425221
903,190.999254778,202.767952038
904,187.773969541,213.722457685
905,183.391236262,200.249842579
906,185.57173486,205.375035583
907,187.264807001,201.872609206
908,185.783805175,203.001442788
909,187.885351411,201.608639037
910,226.803374045,198.429445753
911,228.817156989,200.667987394
912,228.433144364,201.115685182
913,225.245609321,211.295093309
914,222.313047113,209.532800218
915,221.852216221,212.821425897
916,227.521596155,214.617489155
